Type,Count,Size,Threshold,Architecture,Mode
Total,10000000,2,100,CS_ARCH_ARM,CS_MODE_ARM
Disassembled,0,2,100,CS_ARCH_ARM,CS_MODE_ARM
Inflated,0,2,100,CS_ARCH_ARM,CS_MODE_ARM
Both,0,2,100,CS_ARCH_ARM,CS_MODE_ARM
Total,10000000,2,100,CS_ARCH_ARM,CS_MODE_THUMB
Disassembled,8927695,2,100,CS_ARCH_ARM,CS_MODE_THUMB
Inflated,9796,2,100,CS_ARCH_ARM,CS_MODE_THUMB
Both,0,2,100,CS_ARCH_ARM,CS_MODE_THUMB
Total,10000000,2,100,CS_ARCH_ARM,CS_MODE_MCLASS
Disassembled,0,2,100,CS_ARCH_ARM,CS_MODE_MCLASS
Inflated,0,2,100,CS_ARCH_ARM,CS_MODE_MCLASS
Both,0,2,100,CS_ARCH_ARM,CS_MODE_MCLASS
Total,10000000,2,100,CS_ARCH_ARM,CS_MODE_V8
Disassembled,0,2,100,CS_ARCH_ARM,CS_MODE_V8
Inflated,0,2,100,CS_ARCH_ARM,CS_MODE_V8
Both,0,2,100,CS_ARCH_ARM,CS_MODE_V8
Total,10000000,2,100,CS_ARCH_MIPS,CS_MODE_32
Disassembled,0,2,100,CS_ARCH_MIPS,CS_MODE_32
Inflated,0,2,100,CS_ARCH_MIPS,CS_MODE_32
Both,0,2,100,CS_ARCH_MIPS,CS_MODE_32
Total,10000000,2,100,CS_ARCH_MIPS,CS_MODE_64
Disassembled,0,2,100,CS_ARCH_MIPS,CS_MODE_64
Inflated,0,2,100,CS_ARCH_MIPS,CS_MODE_64
Both,0,2,100,CS_ARCH_MIPS,CS_MODE_64
Total,10000000,2,100,CS_ARCH_X86,CS_MODE_32
Disassembled,4302077,2,100,CS_ARCH_X86,CS_MODE_32
Inflated,0,2,100,CS_ARCH_X86,CS_MODE_32
Both,0,2,100,CS_ARCH_X86,CS_MODE_32
Total,10000000,2,100,CS_ARCH_X86,CS_MODE_64
Disassembled,3542008,2,100,CS_ARCH_X86,CS_MODE_64
Inflated,0,2,100,CS_ARCH_X86,CS_MODE_64
Both,0,2,100,CS_ARCH_X86,CS_MODE_64
Total,10000000,2,100,CS_ARCH_PPC,CS_MODE_32
Disassembled,0,2,100,CS_ARCH_PPC,CS_MODE_32
Inflated,0,2,100,CS_ARCH_PPC,CS_MODE_32
Both,0,2,100,CS_ARCH_PPC,CS_MODE_32
Total,10000000,2,100,CS_ARCH_PPC,CS_MODE_64
Disassembled,0,2,100,CS_ARCH_PPC,CS_MODE_64
Inflated,0,2,100,CS_ARCH_PPC,CS_MODE_64
Both,0,2,100,CS_ARCH_PPC,CS_MODE_64
Total,10000000,2,100,CS_ARCH_PPC,CS_MODE_QPX
Disassembled,0,2,100,CS_ARCH_PPC,CS_MODE_QPX
Inflated,0,2,100,CS_ARCH_PPC,CS_MODE_QPX
Both,0,2,100,CS_ARCH_PPC,CS_MODE_QPX
Total,10000000,2,100,CS_ARCH_PPC,CS_MODE_PS
Disassembled,0,2,100,CS_ARCH_PPC,CS_MODE_PS
Inflated,0,2,100,CS_ARCH_PPC,CS_MODE_PS
Both,0,2,100,CS_ARCH_PPC,CS_MODE_PS
Total,10000000,2,100,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Disassembled,2005225,2,100,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
Inflated,0,2,100,CS_ARCH_SYSZ,CS_MODE_LITTLE_ENDIAN
