Type,Count,Size,Threshold
Total,1000000000,32,60
Disassembled,999995304,32,60
Inflated,4990008,32,60
Both,3075175,32,60
Total,1000000000,32,65
Disassembled,999932229,32,65
Inflated,4983384,32,65
Both,3070108,32,65
Total,1000000000,32,70
Disassembled,999235329,32,70
Inflated,4989878,32,70
Both,2589628,32,70
Total,1000000000,32,75
Disassembled,999234496,32,75
Inflated,4991730,32,75
Both,2573341,32,75
Total,1000000000,32,80
Disassembled,993436330,32,80
Inflated,4991694,32,80
Both,2542352,32,80
Total,1000000000,32,85
Disassembled,958273767,32,85
Inflated,4981219,32,85
Both,2231409,32,85
Total,1000000000,32,90
Disassembled,812031547,32,90
Inflated,4984901,32,90
Both,1954137,32,90
Total,1000000000,32,95
Disassembled,439043689,32,95
Inflated,4986401,32,95
Both,1771831,32,95
Total,1000000000,32,100
Disassembled,439032351,32,100
Inflated,4987009,32,100
Both,1565143,32,100
Total,1000000000,64,60
Disassembled,999999999,64,60
Inflated,5027251,64,60
Both,3116295,64,60
Total,1000000000,64,65
Disassembled,999999990,64,65
Inflated,5034326,64,65
Both,3116060,64,65
Total,1000000000,64,70
Disassembled,999998653,64,70
Inflated,5030394,64,70
Both,2630832,64,70
Total,1000000000,64,75
Disassembled,999987814,64,75
Inflated,5031638,64,75
Both,2615314,64,75
Total,1000000000,64,80
Disassembled,999363499,64,80
Inflated,5028623,64,80
Both,2578668,64,80
Total,1000000000,64,85
Disassembled,983031470,64,85
Inflated,5030271,64,85
Both,2277861,64,85
Total,1000000000,64,90
Disassembled,935025992,64,90
Inflated,5035136,64,90
Both,1999232,64,90
Total,1000000000,64,95
Disassembled,539768419,64,95
Inflated,5032571,64,95
Both,1809065,64,95
Total,1000000000,64,100
Disassembled,205026241,64,100
Inflated,5032173,64,100
Both,1578553,64,100
Total,1000000000,128,75
Disassembled,999999998,128,75
Inflated,5034944,128,75
Both,2618557,128,75
Total,1000000000,128,80
Disassembled,999993153,128,80
Inflated,5034525,128,80
Both,2582484,128,80
Total,1000000000,128,85
Disassembled,999251571,128,85
Inflated,5035047,128,85
Both,2281452,128,85
Total,1000000000,128,90
Disassembled,969713052,128,90
Inflated,5034953,128,90
Both,1998254,128,90
Total,1000000000,128,95
Disassembled,642655909,128,95
Inflated,5031644,128,95
Both,1808983,128,95
Total,1000000000,128,100
Disassembled,44726130,128,100
Inflated,5035541,128,100
Both,1576860,128,100
Total,1000000000,256,60
Disassembled,1000000000,256,60
Inflated,5035324,256,60
Both,3120689,256,60
Total,1000000000,256,65
Disassembled,1000000000,256,65
Inflated,5034976,256,65
Both,3117921,256,65
Total,1000000000,256,70
Disassembled,1000000000,256,70
Inflated,5031847,256,70
Both,2632522,256,70
Total,1000000000,256,75
Disassembled,1000000000,256,75
Inflated,5033279,256,75
Both,2618560,256,75
Total,1000000000,256,80
Disassembled,1000000000,256,80
Inflated,5034998,256,80
Both,2585666,256,80
Total,1000000000,256,85
Disassembled,999998060,256,85
Inflated,5033445,256,85
Both,2280211,256,85
Total,1000000000,256,90
Disassembled,993092362,256,90
Inflated,5039623,256,90
Both,2001135,256,90
Total,1000000000,256,95
Disassembled,609094288,256,95
Inflated,5033331,256,95
Both,1808484,256,95
Total,1000000000,256,100
Disassembled,2127142,256,100
Inflated,5033753,256,100
Both,1575382,256,100
Total,1000000000,512,60
Disassembled,1000000000,512,60
Inflated,5035841,512,60
Both,3121331,512,60
Total,1000000000,512,65
Disassembled,1000000000,512,65
Inflated,5034927,512,65
Both,3118987,512,65
Total,1000000000,512,70
Disassembled,1000000000,512,70
Inflated,5031430,512,70
Both,2631861,512,70
Total,1000000000,512,75
Disassembled,1000000000,512,75
Inflated,5034322,512,75
Both,2615636,512,75
Total,1000000000,512,80
Disassembled,1000000000,512,80
Inflated,5031514,512,80
Both,2581844,512,80
Total,1000000000,512,85
Disassembled,1000000000,512,85
Inflated,5034411,512,85
Both,2278901,512,85
Total,1000000000,512,90
Disassembled,999828542,512,90
Inflated,5033951,512,90
Both,1996855,512,90
Total,1000000000,512,95
Disassembled,586636173,512,95
Inflated,5036122,512,95
Both,1808292,512,95
Total,1000000000,512,100
Disassembled,4719,512,100
Inflated,5034393,512,100
Both,1577704,512,100
Total,1000000000,1024,60
Disassembled,1000000000,1024,60
Inflated,5031697,1024,60
Both,3119969,1024,60
Total,1000000000,1024,65
Disassembled,1000000000,1024,65
Inflated,5033607,1024,65
Both,3116169,1024,65
Total,1000000000,1024,70
Disassembled,1000000000,1024,70
Inflated,5034483,1024,70
Both,2634529,1024,70
Total,1000000000,1024,75
Disassembled,1000000000,1024,75
Inflated,5034859,1024,75
Both,2619091,1024,75
Total,1000000000,1024,80
Disassembled,1000000000,1024,80
Inflated,5034036,1024,80
Both,2582092,1024,80
Total,1000000000,1024,85
Disassembled,1000000000,1024,85
Inflated,5034386,1024,85
Both,2278162,1024,85
Total,1000000000,1024,90
Disassembled,999999831,1024,90
Inflated,5034895,1024,90
Both,1997588,1024,90
Total,1000000000,1024,95
Disassembled,653043480,1024,95
Inflated,5033655,1024,95
Both,1809084,1024,95
Total,1000000000,1024,100
Disassembled,0,1024,100
Inflated,5031834,1024,100
Both,1576438,1024,100
